                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.301,                 1.5716,                0.94256,                0.27592,                0.41176,                0.17937,                0.06312,                 2.7091,                 2.6228,                 1.1641,             0.00065711,             0.00065711,             0.00065711
                     36,                 2.2972,                 1.5133,                0.95325,                0.06169,                0.56863,                0.18766,                0.06438,                 2.7188,                 2.6855,                 1.1662,             0.00067574,             0.00067574,             0.00067574
                     37,                 2.0951,                 1.4149,                0.99473,                0.13039,                0.43137,                0.26086,                0.09259,                 2.7948,                 2.6276,                 1.1992,             0.00069434,             0.00069434,             0.00069434
                     38,                 2.1266,                 1.3917,                0.93359,                0.14098,                0.43137,                0.36596,                0.13644,                  2.704,                 2.6736,                 1.1711,             0.00071289,             0.00071289,             0.00071289
                     39,                  2.033,                 1.2957,                0.95746,                0.28796,                0.41176,                0.36175,                0.13022,                 2.6055,                  2.697,                 1.1277,             0.00073141,             0.00073141,             0.00073141
                     40,                 2.3878,                 1.4597,                0.96308,                0.54265,                0.39216,                 0.3866,                0.15202,                 2.4281,                  2.705,                 1.0833,             0.00074988,             0.00074988,             0.00074988
                     41,                 2.2334,                 1.3986,                0.92038,                0.51353,                0.41176,                0.38093,                0.14995,                 2.3327,                 2.7487,                 1.0546,             0.00076832,             0.00076832,             0.00076832
                     42,                 2.1456,                 1.2829,                0.95775,                0.31233,                0.45098,                0.36222,                0.14113,                 2.3514,                 2.7759,                 1.0579,             0.00078672,             0.00078672,             0.00078672
                     43,                 2.4146,                 1.3719,                 1.0207,                0.59422,                0.35294,                0.35114,                0.12978,                 2.3556,                 2.8097,                 1.0662,             0.00080507,             0.00080507,             0.00080507
                     44,                 2.2937,                 1.3586,                0.95094,                  0.064,                0.62745,                 0.3336,                0.11469,                 2.4419,                 2.9763,                 1.0921,             0.00082339,             0.00082339,             0.00082339
                     45,                 2.3023,                 1.3583,                0.94196,                0.05749,                0.54902,                 0.2808,                0.09989,                 2.5078,                 3.0779,                 1.1105,             0.00084167,             0.00084167,             0.00084167
                     46,                 2.3319,                 1.3819,                 0.9512,                0.05668,                0.54902,                0.26337,                0.10704,                 2.4899,                  3.129,                 1.1013,             0.00085991,             0.00085991,             0.00085991
                     47,                 2.0431,                  1.265,                  0.933,                0.05976,                0.58824,                 0.2988,                0.11152,                 2.4782,                 3.0663,                 1.0905,              0.0008781,              0.0008781,              0.0008781
                     48,                 2.0369,                 1.2698,                0.92577,                 0.0632,                0.66667,                0.35324,                0.13655,                 2.4514,                 2.9243,                 1.0811,             0.00089626,             0.00089626,             0.00089626
                     49,                 2.1247,                 1.3541,                0.93867,                0.05709,                0.64706,                0.39829,                0.14614,                 2.4965,                 2.8035,                 1.0887,             0.00091438,             0.00091438,             0.00091438
                     50,                 1.9575,                 1.1653,                0.96078,                0.04833,                0.56863,                 0.2418,                0.07964,                 2.6457,                 2.7806,                  1.126,             0.00093246,             0.00093246,             0.00093246
                     51,                 2.5245,                 1.3421,                 0.9591,                0.04833,                0.56863,                 0.2418,                0.07964,                 2.6457,                 2.7806,                  1.126,              0.0009505,              0.0009505,              0.0009505
                     52,                 2.1496,                 1.2386,                0.97103,                 0.3002,                0.47059,                0.26347,                 0.0957,                 2.5908,                  2.464,                 1.1117,              0.0009685,              0.0009685,              0.0009685
                     53,                 1.9084,                 1.2694,                   0.98,                 0.3002,                0.47059,                0.26347,                 0.0957,                 2.5908,                  2.464,                 1.1117,             0.00098646,             0.00098646,             0.00098646
                     54,                 2.3563,                 1.3059,                0.97593,                0.58302,                0.39216,                0.43746,                0.14605,                 2.4848,                 2.2736,                 1.0836,              0.0010044,              0.0010044,              0.0010044
                     55,                 1.8129,                 1.1787,                0.94085,                0.58302,                0.39216,                0.43746,                0.14605,                 2.4848,                 2.2736,                 1.0836,              0.0010223,              0.0010223,              0.0010223
                     56,                 2.2595,                 1.2717,                 0.9277,                0.64353,                0.31873,                0.45853,                0.17461,                 2.3613,                 2.2049,                 1.0393,              0.0010401,              0.0010401,              0.0010401
                     57,                 1.8845,                 1.1925,                0.90643,                0.64353,                0.31873,                0.45853,                0.17461,                 2.3613,                 2.2049,                 1.0393,              0.0010579,              0.0010579,              0.0010579
                     58,                 2.0504,                 1.2566,                0.95708,                0.40309,                0.52941,                0.32609,                0.12604,                 2.3284,                 2.2189,                  1.018,              0.0010757,              0.0010757,              0.0010757
                     59,                 1.9641,                  1.115,                 0.9212,                0.40309,                0.52941,                0.32609,                0.12604,                 2.3284,                 2.2189,                  1.018,              0.0010934,              0.0010934,              0.0010934
                     60,                 2.1269,                 1.2925,                0.93972,                0.31076,                 0.4902,                0.25594,                0.10312,                 2.2887,                 2.2175,                 1.0102,              0.0011111,              0.0011111,              0.0011111
                     61,                 1.9848,                 1.2222,                0.94912,                0.31076,                 0.4902,                0.25594,                0.10312,                 2.2887,                 2.2175,                 1.0102,              0.0011287,              0.0011287,              0.0011287
                     62,                 2.1897,                 1.2982,                 0.9117,                0.28077,                0.45098,                0.20373,                0.07798,                 2.3009,                 2.3799,                 1.0264,              0.0011463,              0.0011463,              0.0011463
                     63,                 2.0369,                 1.3099,                0.91255,                0.28077,                0.45098,                0.20373,                0.07798,                 2.3009,                 2.3799,                 1.0264,              0.0011639,              0.0011639,              0.0011639
                     64,                 1.9814,                 1.3438,                0.95736,                0.33058,                0.47059,                0.30725,                0.10354,                 2.4463,                 2.2607,                  1.085,              0.0011814,              0.0011814,              0.0011814
                     65,                 2.0603,                 1.2415,                0.93198,                0.33058,                0.47059,                0.30725,                0.10354,                 2.4463,                 2.2607,                  1.085,              0.0011989,              0.0011989,              0.0011989
                     66,                 1.8652,                 1.2301,                0.95446,                0.56742,                0.23529,                0.36647,                0.12912,                 2.5602,                 2.0616,                 1.1179,              0.0012163,              0.0012163,              0.0012163
                     67,                 1.7762,                 1.1084,                0.92387,                0.56742,                0.23529,                0.36647,                0.12912,                 2.5602,                 2.0616,                 1.1179,              0.0012338,              0.0012338,              0.0012338
                     68,                 1.9964,                 1.1459,                0.90847,                0.60773,                0.41176,                0.45168,                0.15599,                 2.5258,                  1.846,                 1.0972,              0.0012511,              0.0012511,              0.0012511
                     69,                 1.9901,                 1.1819,                0.89459,                0.60773,                0.41176,                0.45168,                0.15599,                 2.5258,                  1.846,                 1.0972,              0.0012684,              0.0012684,              0.0012684
                     70,                 2.2097,                 1.3076,                0.92553,                 0.5572,                0.43137,                0.45941,                0.16268,                 2.4699,                 1.7412,                 1.0789,              0.0012857,              0.0012857,              0.0012857
                     71,                 2.1528,                 1.2175,                  1.011,                 0.5572,                0.43137,                0.45941,                0.16268,                 2.4699,                 1.7412,                 1.0789,               0.001303,               0.001303,               0.001303
                     72,                 2.2271,                 1.2839,                0.92136,                0.56068,                0.47059,                0.50844,                0.17073,                 2.3914,                 1.7875,                 1.0428,              0.0013202,              0.0013202,              0.0013202
                     73,                 2.0949,                 1.1952,                0.92061,                0.56068,                0.47059,                0.50844,                0.17073,                 2.3914,                 1.7875,                 1.0428,              0.0013374,              0.0013374,              0.0013374
                     74,                 2.2228,                 1.2208,                0.97314,                0.53534,                0.45183,                0.45129,                0.14445,                 2.4206,                 1.8631,                 1.0462,              0.0013545,              0.0013545,              0.0013545
                     75,                 2.1551,                 1.3044,                0.98357,                0.53534,                0.45183,                0.45129,                0.14445,                 2.4206,                 1.8631,                 1.0462,              0.0013716,              0.0013716,              0.0013716
                     76,                 2.1843,                 1.2749,                0.96204,                0.58703,                0.45098,                0.44562,                0.15414,                 2.4628,                 1.8615,                 1.0718,              0.0013886,              0.0013886,              0.0013886
                     77,                 1.8486,                 1.1761,                0.93988,                0.58703,                0.45098,                0.44562,                0.15414,                 2.4628,                 1.8615,                 1.0718,              0.0014056,              0.0014056,              0.0014056
                     78,                 1.8058,                  1.167,                0.93903,                0.45319,                0.37255,                0.30637,                0.11435,                 2.5923,                 1.7682,                 1.1486,              0.0014226,              0.0014226,              0.0014226
